Lon Lat H AAL
-75.4583 5.7322 1453 90.1
-75.4417 5.7322 1703 94.9
-75.425 5.7322 1349 97.4
-75.4084 5.7322 1445 99.9
-75.3917 5.7322 1963 105.1
-75.375 5.7322 2277 115.8
-75.3583 5.7322 2581 133.5
-75.3417 5.7322 2459 157.4
-75.325 5.7322 2703 185.8
-75.3083 5.7322 2579 213.7
-75.2917 5.7322 2555 236.7
-75.275 5.7322 2583 249.7
-75.2584 5.7322 2821 249.9
-75.2417 5.7322 2909 237
-75.225 5.7322 2477 212.7
-75.2083 5.7322 2291 182.5
-75.1917 5.7322 2303 150.8
-75.175 5.7322 2245 123.8
-75.1584 5.7322 2055 104.3
-75.1417 5.7322 1787 93.8
-75.125 5.7322 1535 90.8
-75.1083 5.7322 1495 91.4
-75.0917 5.7322 1621 92
-75.075 5.7322 1733 88.4
-75.0583 5.7322 1757 78.7
-75.0417 5.7322 1707 63.1
-75.025 5.7322 1509 43.1
-75.0084 5.7322 1123 22.5
-74.9917 5.7322 923 4.2
-74.975 5.7322 935 -8.8
-74.9583 5.7322 795 -15.7
-74.9417 5.7322 549 -17.2
-74.925 5.7322 477 -15
-74.9084 5.7322 427 -12
-74.8917 5.7322 445 -10.2
-74.875 5.7322 607 -11.1
-74.8583 5.7322 579 -14.8
-74.8417 5.7322 361 -20.2
-74.825 5.7322 407 -26.2
-74.8083 5.7322 385 -31.2
-74.7917 5.7322 301 -34.6
-74.775 5.7322 243 -36.5
-74.7584 5.7322 207 -37.7
-74.7417 5.7322 187 -39.5
-74.725 5.7322 175 -42.5
-74.7083 5.7322 173 -47.1
-74.6917 5.7322 169 -52.7
-74.675 5.7322 155 -58.2
-74.6584 5.7322 151 -62.3
-74.6417 5.7322 151 -64.3
-74.625 5.7322 155 -64
-75.9084 5.7156 1395 59.8
-75.8917 5.7156 1231 78.1
-75.875 5.7156 1281 105.1
-75.8583 5.7156 1747 137.9
-75.8417 5.7156 1953 170.5
-75.825 5.7156 2209 198.4
-75.8083 5.7156 2045 216
-75.7917 5.7156 2231 220.7
-75.775 5.7156 2205 211.1
-75.7584 5.7156 2113 188.2
-75.7417 5.7156 2115 155.7
-75.725 5.7156 2117 117.5
-75.7083 5.7156 1571 79.3
-75.6917 5.7156 1129 44.6
-75.675 5.7156 837 16.9
-75.6584 5.7156 687 -2.8
-75.6417 5.7156 807 -14.5
-75.625 5.7156 731 -19.3
-75.6083 5.7156 865 -18.9
-75.5917 5.7156 751 -14.5
-75.575 5.7156 871 -7.3
-75.5583 5.7156 719 2.1
-75.5417 5.7156 739 13.1
-75.525 5.7156 1065 25
-75.5084 5.7156 1487 36.6
-75.4917 5.7156 1743 47
-75.475 5.7156 1841 54.5
-75.4583 5.7156 1303 58.8
-75.4417 5.7156 1489 60.2
-75.425 5.7156 1125 60.2
-75.4084 5.7156 1499 61.7
-75.3917 5.7156 1969 67.5
-75.375 5.7156 2275 80.6
-75.3583 5.7156 2457 102.1
-75.3417 5.7156 2581 130.8
-75.325 5.7156 2691 164.4
