Lon Lat H AAL
-73.875 5.8482 2651 130.4
-73.8583 5.8482 2667 129
-73.8417 5.8482 2439 123.4
-73.825 5.8482 2093 114.6
-73.8083 5.8482 1911 104.6
-73.7917 5.8482 1831 95.2
-73.775 5.8482 1833 88.4
-73.7584 5.8482 1793 85
-73.7417 5.8482 1923 85.2
-73.725 5.8482 1897 88.5
-73.7083 5.8482 1731 93.2
-73.6917 5.8482 1859 98.3
-73.675 5.8482 1763 102.2
-73.6584 5.8482 1777 104.6
-73.6417 5.8482 1917 105.5
-73.625 5.8482 1963 105.9
-73.6083 5.8482 2045 106.9
-73.5917 5.8482 1801 109.4
-73.575 5.8482 1735 114.2
-73.5583 5.8482 1873 121.2
-73.5417 5.8482 2043 129.2
-73.525 5.8482 2121 137.3
-73.5084 5.8482 2225 144
-73.4917 5.8482 2371 148.4
-73.475 5.8482 2481 150.3
-73.4583 5.8482 2511 150.4
-73.4417 5.8482 2285 150.2
-73.425 5.8482 2093 151.3
-73.4084 5.8482 2083 155.5
-73.3917 5.8482 2109 163.7
-73.375 5.8482 2197 175.8
-73.3583 5.8482 2651 191
-73.3417 5.8482 2735 206.9
-73.325 5.8482 2473 221.9
-73.3083 5.8482 2743 233.2
-73.2917 5.8482 2969 239.8
-73.275 5.8482 2947 241.1
-73.2584 5.8482 2891 238
-73.2417 5.8482 2585 232.4
-73.225 5.8482 2531 226.1
-73.2083 5.8482 2645 221.5
-73.1917 5.8482 3115 219.5
-73.175 5.8482 3327 220.6
-73.1584 5.8482 3307 224.1
-73.1417 5.8482 3367 228.1
-73.125 5.8482 3327 231.2
-73.1083 5.8482 3183 231.7
-73.0917 5.8482 3005 229.1
-73.075 5.8482 2891 224.1
-73.0583 5.8482 2897 217.9
-73.0417 5.8482 2735 212.9
-73.025 5.8482 2669 210.6
-73.0084 5.8482 2709 212.3
-72.9917 5.8482 2801 217.6
-72.975 5.8482 2819 224.8
-72.9583 5.8482 2637 231.4
-72.9417 5.8482 2533 234.1
-72.925 5.8482 2501 230.7
-74.9084 5.8316 513 -2.5
-74.8917 5.8316 439 0.4
-74.875 5.8316 433 0.6
-74.8583 5.8316 411 -2.8
-74.8417 5.8316 487 -9
-74.825 5.8316 375 -17
-74.8083 5.8316 419 -24.4
-74.7917 5.8316 391 -30.2
-74.775 5.8316 329 -33.2
-74.7584 5.8316 223 -33.8
-74.7417 5.8316 187 -33.3
-74.725 5.8316 181 -32.8
-74.7083 5.8316 171 -34
-74.6917 5.8316 159 -37.5
-74.675 5.8316 167 -43.2
-74.6584 5.8316 151 -50.3
-74.6417 5.8316 151 -57.2
-74.625 5.8316 161 -62.8
-74.6083 5.8316 149 -66
-74.5917 5.8316 165 -66.7
-74.575 5.8316 179 -65.5
-74.5583 5.8316 185 -63.4
-74.5417 5.8316 173 -61.8
-74.525 5.8316 169 -61.7
-74.5084 5.8316 181 -63.7
-74.4917 5.8316 179 -67.8
